2	1	0	0	0	1	4
3	0	1	0	1	0	5
2	1	1	0	0	0	4
2	0	1	0	0	0	3
0	0	3	1	1	0	5
3	1	2	2	2	3	13
0	1	1	1	0	0	3
1	1	3	1	0	2	8
3	1	1	3	0	1	9
4	4	2	1	0	2	13
0	1	0	0	0	0	1
4	1	4	2	0	1	12
5	2	4	1	0	0	12
1	0	0	0	0	0	1
3	1	4	3	1	0	12
4	4	6	4	1	1	20
3	1	1	3	3	1	12
1	3	2	1	1	1	9
0	0	1	0	0	0	1
4	1	3	1	0	0	9
4	2	2	0	0	0	8
3	3	4	4	2	1	17
4	5	4	2	0	1	16
0	0	1	0	0	0	1
6	3	3	2	2	0	16
2	5	4	2	1	1	15
1	0	0	0	0	0	1
1	2	0	1	1	0	5
2	3	3	2	1	0	11
1	1	1	0	0	0	3
4	1	4	0	0	0	9
2	0	2	0	0	0	4
2	2	2	0	0	0	6
3	1	1	1	0	0	6
3	2	2	0	1	0	8
0	2	0	0	0	0	2
0	1	1	1	0	0	3
0	1	0	0	0	0	1
0	0	1	0	0	0	1
0	1	0	0	0	0	1
1	0	0	0	0	0	1
84	59	75	39	18	16	291
